CustomerKey,GeographyKey,City,Country,Title,full name,BirthDate,Gender,EmailAddress,DateFirstPurchase
11000,26,Rockhampton,Australia,NULL,JonYang,1971-10-06,Male,jon24@adventure-works.com,2019-01-19
11001,37,Seaford,Australia,NULL,EugeneHuang,1976-05-10,Male,eugene10@adventure-works.com,2019-01-15
11002,31,Hobart,Australia,NULL,RubenTorres,1971-02-09,Male,ruben35@adventure-works.com,2019-01-07
11003,11,North Ryde,Australia,NULL,ChristyZhu,1973-08-14,Female,christy12@adventure-works.com,2018-12-29
11004,19,Wollongong,Australia,NULL,ElizabethJohnson,1979-08-05,Female,elizabeth5@adventure-works.com,2019-01-23
11005,22,East Brisbane,Australia,NULL,JulioRuiz,1976-08-01,Male,julio1@adventure-works.com,2018-12-30
11006,8,Matraville,Australia,NULL,JanetAlvarez,1976-12-02,Female,janet9@adventure-works.com,2019-01-24
11007,40,Warrnambool,Australia,NULL,MarcoMehta,1969-11-06,Male,marco14@adventure-works.com,2019-01-09
11008,32,Bendigo,Australia,NULL,RobVerhoff,1975-07-04,Female,rob4@adventure-works.com,2019-01-25
11009,25,Hervey Bay,Australia,NULL,ShannonCarlson,1969-09-29,Male,shannon38@adventure-works.com,2019-01-27
11010,22,East Brisbane,Australia,NULL,JacquelynSuarez,1969-08-05,Female,jacquelyn20@adventure-works.com,2019-01-14
11011,22,East Brisbane,Australia,NULL,CurtisLu,1969-05-03,Male,curtis9@adventure-works.com,2018-12-30
11012,611,Bremerton,United States,NULL,LaurenWalker,1979-01-14,Female,lauren41@adventure-works.com,2021-03-16
11013,543,Lebanon,United States,NULL,IanJenkins,1979-08-03,Male,ian47@adventure-works.com,2021-04-13
11014,634,Redmond,United States,NULL,SydneyBennett,1973-11-06,Female,sydney23@adventure-works.com,2021-03-23
11015,301,Burbank,United States,NULL,ChloeYoung,1984-08-26,Female,chloe23@adventure-works.com,2021-01-18
11016,329,Imperial Beach,United States,NULL,WyattHill,1984-10-25,Male,wyatt32@adventure-works.com,2021-02-09
11017,39,Sunbury,Australia,NULL,ShannonWang,1949-12-24,Female,shannon1@adventure-works.com,2019-01-12
11018,32,Bendigo,Australia,NULL,ClarenceRai,1955-10-06,Male,clarence32@adventure-works.com,2019-01-17
11019,52,Langley,Canada,NULL,LukeLal,1983-09-04,Male,luke18@adventure-works.com,2021-02-12
11020,53,Metchosin,Canada,NULL,JordanKing,1984-03-19,Male,jordan73@adventure-works.com,2020-12-29
11021,536,Beaverton,United States,NULL,DestinyWilson,1984-03-02,Female,destiny7@adventure-works.com,2021-01-23
11022,609,Bellingham,United States,NULL,EthanZhang,1984-04-10,Male,ethan20@adventure-works.com,2021-01-20
11023,298,Bellflower,United States,NULL,SethEdwards,1984-04-09,Male,seth46@adventure-works.com,2021-02-17
11024,311,Concord,United States,NULL,RussellXie,1984-03-16,Male,russell7@adventure-works.com,2021-06-27
11025,24,Hawthorne,Australia,NULL,AlejandroBeck,1951-06-22,Male,alejandro45@adventure-works.com,2019-01-06
11026,4,Goulburn,Australia,NULL,HaroldSai,1951-10-01,Male,harold3@adventure-works.com,2019-01-23
11027,40,Warrnambool,Australia,NULL,JessieZhao,1952-06-05,Male,jessie16@adventure-works.com,2019-01-16
11028,17,St. Leonards,Australia,NULL,JillJimenez,1951-10-09,Female,jill13@adventure-works.com,2019-01-26
11029,32,Bendigo,Australia,NULL,JimmyMoreno,1952-06-19,Male,jimmy9@adventure-works.com,2019-01-19
11030,28,Cloverdale,Australia,NULL,BethanyYuan,1958-02-18,Female,bethany10@adventure-works.com,2019-02-05
11031,8,Matraville,Australia,NULL,TheresaRamos,1953-02-18,Female,theresa13@adventure-works.com,2019-02-01
11032,35,Melbourne,Australia,NULL,DeniseStone,1952-12-08,Female,denise10@adventure-works.com,2019-02-18
11033,9,Milsons Point,Australia,NULL,JaimeNath,1958-09-19,Male,jaime41@adventure-works.com,2019-02-15
11034,12,North Sydney,Australia,NULL,EbonyGonzalez,1952-12-16,Female,ebony19@adventure-works.com,2019-02-01
11035,33,Cranbourne,Australia,NULL,WendyDominguez,1953-08-23,Female,wendy12@adventure-works.com,2019-02-06
11036,343,National City,United States,NULL,JenniferRussell,1984-06-16,Female,jennifer93@adventure-works.com,2021-01-22
11037,49,Cliffside,Canada,NULL,ChloeGarcia,1983-05-27,Female,chloe27@adventure-works.com,2021-01-20
11038,6,Lavender Bay,Australia,NULL,DianaHernandez,1953-09-20,Female,diana2@adventure-works.com,2019-02-07
11039,19,Wollongong,Australia,NULL,MarcMartin,1954-06-16,Male,marc3@adventure-works.com,2019-02-07
11040,642,Tacoma,United States,NULL,JesseMurphy,1983-01-29,Male,jesse15@adventure-works.com,2021-04-03
11041,325,Glendale,United States,NULL,AmandaCarter,1983-04-15,Female,amanda53@adventure-works.com,2021-01-14
11042,338,Los Angeles,United States,NULL,MeganSanchez,1982-12-11,Female,megan28@adventure-works.com,2021-01-21
11043,325,Glendale,United States,NULL,NathanSimmons,1981-08-23,Male,nathan11@adventure-works.com,2021-05-08
11044,25,Hervey Bay,Australia,NULL,AdamFlores,1954-11-21,Male,adam10@adventure-works.com,2019-02-28
11045,8,Matraville,Australia,NULL,LeonardNara,1955-11-16,Male,leonard18@adventure-works.com,2021-04-10
11046,6,Lavender Bay,Australia,NULL,ChristineYuan,1955-09-19,Female,christine4@adventure-works.com,2019-02-06
11047,34,Geelong,Australia,NULL,JaclynLu,1955-08-27,Female,jaclyn12@adventure-works.com,2019-02-03
11048,39,Sunbury,Australia,NULL,JeremyPowell,1956-05-21,Male,jeremy26@adventure-works.com,2019-02-10
11049,307,Chula Vista,United States,NULL,CarolRai,1986-01-15,Female,carol8@adventure-works.com,2021-03-09
11050,31,Hobart,Australia,NULL,AlanZheng,1957-03-06,Male,alan23@adventure-works.com,2019-02-20
11051,21,Caloundra,Australia,NULL,DanielJohnson,1957-01-31,Male,daniel18@adventure-works.com,2021-12-29
11052,8,Matraville,Australia,NULL,HeidiLopez,1957-02-03,Female,heidi19@adventure-works.com,2019-02-17
11053,359,San Diego,United States,NULL,AnaPrice,1986-02-17,Female,ana0@adventure-works.com,2021-01-17
11054,34,Geelong,Australia,NULL,DeannaMunoz,1957-09-07,Female,deanna33@adventure-works.com,2019-02-03
11055,22,East Brisbane,Australia,NULL,GilbertRaje,1957-09-02,Male,gilbert35@adventure-works.com,2019-01-31
11056,10,Newcastle,Australia,NULL,MicheleNath,1958-10-01,Female,michele19@adventure-works.com,2019-02-26
11057,5,Lane Cove,Australia,NULL,CarlAndersen,1970-04-07,Male,carl12@adventure-works.com,2019-02-22
11058,29,Findon,Australia,NULL,MarcDiaz,1965-04-23,Male,marc6@adventure-works.com,2019-03-09
11059,27,Townsville,Australia,NULL,AshleeAndersen,1959-09-29,Female,ashlee19@adventure-works.com,2021-02-18
11060,40,Warrnambool,Australia,NULL,JonZhou,1959-09-14,Male,jon28@adventure-works.com,2019-03-19
11061,23,Gold Coast,Australia,NULL,ToddGao,1976-02-20,Male,todd14@adventure-works.com,2019-03-13
11062,547,Portland,United States,NULL,NoahPowell,1981-03-01,Male,noah5@adventure-works.com,2021-01-07
11063,634,Redmond,United States,NULL,AngelaMurphy,1980-10-04,Female,angela41@adventure-works.com,2021-01-12
11064,315,Downey,United States,NULL,ChaseReed,1981-06-05,Male,chase21@adventure-works.com,2021-01-25
11065,331,La Jolla,United States,NULL,JessicaHenderson,1979-04-08,Female,jessica29@adventure-works.com,2021-02-10
11066,543,Lebanon,United States,NULL,GraceButler,1979-05-27,Female,grace62@adventure-works.com,2021-05-31
11067,632,Port Orchard,United States,NULL,CalebCarter,1982-03-25,Male,caleb40@adventure-works.com,2021-08-18
11068,40,Warrnambool,Australia,NULL,TiffanyLiang,1966-09-19,Female,tiffany17@adventure-works.com,2021-04-30
11069,23,Gold Coast,Australia,NULL,CarolynNavarro,1966-09-17,Female,carolyn30@adventure-works.com,2019-04-17
11070,39,Sunbury,Australia,NULL,WillieRaji,1960-10-02,Male,willie40@adventure-works.com,2019-04-28
11071,24,Hawthorne,Australia,NULL,LindaSerrano,1960-12-23,Female,linda31@adventure-works.com,2021-03-01
11072,17,St. Leonards,Australia,NULL,CaseyLuo,1960-08-05,Female,casey6@adventure-works.com,2019-03-31
11073,16,Springwood,Australia,NULL,AmyYe,1962-02-11,Female,amy16@adventure-works.com,2021-03-23
11074,28,Cloverdale,Australia,NULL,LeviArun,1962-02-25,Male,levi6@adventure-works.com,2021-03-23
11075,32,Bendigo,Australia,NULL,FeliciaJimenez,1963-05-16,Female,felicia4@adventure-works.com,2019-04-28
11076,19,Wollongong,Australia,NULL,BlakeAnderson,1963-01-10,Male,blake9@adventure-works.com,2019-04-21
11077,36,Melton,Australia,NULL,LeahYe,1963-03-19,Female,leah7@adventure-works.com,2019-04-15
11078,49,Cliffside,Canada,NULL,GinaMartin,1985-01-06,Female,gina1@adventure-works.com,2021-02-15
11079,34,Geelong,Australia,NULL,DonaldGonzalez,1970-03-07,Male,donald20@adventure-works.com,2021-03-15
11080,30,Perth,Australia,NULL,DamienChander,1965-01-13,Male,damien32@adventure-works.com,2019-04-10
11081,311,Concord,United States,NULL,SavannahBaker,1972-01-21,Female,savannah39@adventure-works.com,2021-02-12
11082,322,Fremont,United States,NULL,AngelaButler,1972-02-01,Female,angela17@adventure-works.com,2021-01-22
11083,336,Lincoln Acres,United States,NULL,AlyssaCox,1977-03-11,Female,alyssa37@adventure-works.com,2021-01-06
11084,543,Lebanon,United States,NULL,LucasPhillips,1963-03-12,Male,lucas7@adventure-works.com,2021-01-04
11085,345,Newport Beach,United States,NULL,EmilyJohnson,1963-01-16,Female,emily1@adventure-works.com,2021-12-06
11086,369,Santa Monica,United States,NULL,RyanBrown,1963-06-22,Male,ryan43@adventure-works.com,2021-07-02
11087,307,Chula Vista,United States,NULL,TamaraLiang,1963-04-02,Female,tamara6@adventure-works.com,2021-02-25
11088,359,San Diego,United States,NULL,HunterDavis,1963-05-25,Male,hunter64@adventure-works.com,2021-01-13
